Version 2026.01.01,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Top 10 Sellers of 2025 (Total $ Amount),,,,Top 10 Sellers of 2025 (Total $ Amount),,
Item Status,Item Number,UPC,Item Description,Item Status,Item Number,UPC,Item Description
,556MOD2BLK30,686751104015,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 30-Round Magazine,,GLOCKBRL,853828006033,"Techna Clip® Minimalist Holster compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41, G41 MOS, G45 and PSA Dagger 9mm Luger & .40 S&W Pistols (Ambi)"
,556SPRINKLE30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine,,GX4BA,799947620135,Techna Clip® Minimalist Holster compatible with Taurus® GX4™ 9mm Luger Pistols (Ambi)
,556BANANA30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 30-Round Magazine,,G2BA,853828006330,Techna Clip® Minimalist Holster compatible with Taurus® G2 Millennium/Slim Series 9mm Luger & .40 S&W Pistols (Ambi)
,SAAICSBLK5,685757245777,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 5-Round Magazine,,G43BRL,853828006002,"Techna Clip® Minimalist Holster compatible with GLOCK® G43, G43x and G48 9mm Luger Pistols (Ambi)"
,556MOD3BLK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine,,P365BA,853828006477,Techna Clip® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols (Ambi)
,SAAICS65BLK3,799947620104,Amend2® Bolt-Action Short-Action Magnum AICS 6.5 PRC Mod-3 Black 3-Round Magazine,,PKMAG,853828006347,Universal Pocket Mag® Carrier Minimalist Pistol Magazine Holder
,556MODCSMK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 30-Round Magazine,,LCPIIBR,853828006279,Techna Clip® Minimalist Holster compatible with Ruger® LCP® ll .380 ACP Pistols (Right-Side)
,CIP5323RD,850057645712,Amend2® Bolt-Action Long-Action CIP-532 .300 Winchester Magnum/7mm PRC/.300 PRC Mod-3 Black 3-Round Magazine,,SHBR,853828006170,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols (Right-Side)
,SAAICSBLK12,799947619771,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 12-Round Magazine,,HELLCATBA,685757245487,Techna Clip® Minimalist Holster compatible with Springfield Armory® Hellcat® 9mm Luger Pistols (Ambi)
New ,"SDTOOL
SDTOOLDISP","749355071692
749355071708","Amend2® Reinforced G10 Red Self-Defense Tool
Amend2® Self-Defense Tool POS Display Containing 24 Reinforced G10 Red Self-Defense Tools (Item # SDTOOL)",,CCKG43BRL,685757245135,"Concealed Carry Kit includes Techna Clip® G43BRL and Trigger Guard compatible with GLOCK® Models G43, G43x and G48 9mm Luger Pistols"
,Top 10 Sellers of 2025 (Total Units Sold),,,,Top 10 Sellers of 2025 (Total Units Sold),,
Item Status,Item Number,UPC,Item Description,Item Status,Item Number,UPC,Item Description
,556MOD2BLK30,686751104015,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 30-Round Magazine,,GX4BA,799947620135,Techna Clip® Minimalist Holster compatible with Taurus® GX4™ 9mm Luger Pistols (Ambi)
,556MOD3BLK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine,,GLOCKBRL,853828006033,"Techna Clip® Minimalist Holster compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41, G41 MOS, G45 and PSA Dagger 9mm Luger & .40 S&W Pistols (Ambi)"
New ,"SDTOOL
SDTOOLDISP","749355071692
749355071708","Amend2® Reinforced G10 Red Self-Defense Tool
Amend2® Self-Defense Tool POS Display Containing 24 Reinforced G10 Red Self-Defense Tools (Item # SDTOOL)",,G43BRL,853828006002,"Techna Clip® Minimalist Holster compatible with GLOCK® G43, G43x and G48 9mm Luger Pistols (Ambi)"
,556SPRINKLE30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine,,P365BA,853828006477,Techna Clip® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols (Ambi)
,556BANANA30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 30-Round Magazine,,G2BA,853828006330,Techna Clip® Minimalist Holster compatible with Taurus® G2 Millennium/Slim Series 9mm Luger & .40 S&W Pistols (Ambi)
,556MODCSMK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 30-Round Magazine,,PKMAG,853828006347,Universal Pocket Mag® Carrier Minimalist Pistol Magazine Holder
,SAAICSBLK5,799947619771,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 5-Round Magazine,,LCPIIBR,853828006279,Techna Clip® Minimalist Holster compatible with Ruger® LCP® ll .380 ACP Pistols (Right-Side)
,SAAICS65BLK3,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine,,SHBR,853828006170,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols (Right-Side)
,300MOD3BLK30,799947619801,Amend2® AR-15/M4/M16 7.62x35/.300 AAC Blackout Mod-3 Black 30-Round Magazine,,HELLCATBA,685757245487,Techna Clip® Minimalist Holster compatible with Springfield Armory® Hellcat® 9mm Luger Pistols (Ambi)
,G19MOD3BLK15,799947620081,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-3 Black 15-Round Magazine,,CCKG43BRL,685757245135,"Concealed Carry Kit includes Techna Clip® G43BRL and Trigger Guard compatible with GLOCK® Models G43, G43x and G48 9mm Luger Pistols"
