Version 2026.07.01,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Item Status,Item Number,UPC,Item Description,Item Web Listing,Item Sell Sheet
,Magazines,,,,
,AR-15/M4/M16 Magazines,,,,
,Mod-2 Magazines,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,
New ,556BANANA1030,850057645972,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 10/30 10-Round Magazine - Restricted State Compliant,https://amend2mags.com/amend2-ar-15-mod-2-yellow-banana-5-56-223-10-30rd/,https://drive.google.com/file/d/1XQD5Ob4b59QjiB4xO330I41ZInUhN2LX/view?usp=sharing
,556BANANA30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-2-yellow-banana-5-56-223-30rd/,https://drive.google.com/file/d/1pFy3F9n9G6mk7P1Cd1H92ihdk0XjNHc7/view?usp=sharing
New ,556SPRINK1030,850057645989,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 10/30 10-Round Magazine - Restricted State Compliant,https://amend2mags.com/amend2-ar-15-mod-2-pink-sprinkle-donut-5-56-223-10-30rd/,https://drive.google.com/file/d/1nUACnT4sBIwW_GQvRKTQnY8Oc92zo0c4/view?usp=sharing
,556SPRINKLE30,799947619948,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-2-pink-sprinkle-donut-5-56-223-30rd/,https://drive.google.com/file/d/1XAyNKYsCOpxz2tUAHr_8M4PEs85bPsbn/view?usp=sharing
,,,,,
,556MOD2B1030,685757245692,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 10/30 10-Round Magazine - Restricted State Compliant,https://amend2mags.com/amend2-ar-15-mod-2-5-56-223-10-30rd/,https://drive.google.com/file/d/1--S5TtUSiAVYpiHbvhijqN2EQFSwaMJ7/view?usp=sharing
,556MOD2BLK30,686751104015,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-2-5-56-223-30rd/,https://drive.google.com/file/d/13D-OWBh5soi3yAFhemMsPGXaFZuEZ0rB/view?usp=sharing
New ,A2MAGDRUMMOD2,749355071821,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD2BLK30 Magazines,N/A,https://drive.google.com/file/d/1o8_xYBDJn5v88-yxpepVKhTQYNvINR_X/view?usp=sharing
,,,,,
Special Order Only ,556MOD2F1030,685757245708,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 10/30 10-Round Magazine - Restricted State Compliant,Use the item web listing for '556MOD2B1030',https://drive.google.com/file/d/1KXgecx1pE8pCTZmv_dr2iMYp5N9JLN6o/view?usp=sharing
Special Order Only ,556MOD2FDE30,686751104022,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 30-Round Magazine,Use the item web listing for '556MOD2BLK30',https://drive.google.com/file/d/1LEoPJhqnIRrt1ewDE8FLSr8WFjUo70Yw/view?usp=sharing
,,,,,
Special Order Only ,556MOD2GRY30,686751104138,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Gray 30-Round Magazine,Use the item web listing for '556MOD2BLK30',https://drive.google.com/file/d/1v_vS5ASJ3ZP0iZAel61OxNWedIVFyUmK/view?usp=sharing
,,,,,
Special Order Only ,556MOD2ODG30,686751104039,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Olive Drab Green 30-Round Magazine,Use the item web listing for '556MOD2BLK30',https://drive.google.com/file/d/1oktmu5bCUDJgMUqRgdj0pTp-TlDJTB-m/view?usp=sharing
,6.5 Grendel/6mm ARC Magazines,,,,
Phase Out ,65GRENDBLK10,686751104237,Amend2® AR-15/M4/M16 6.5 Grendel/6mm ARC/22 ARC Mod-2 Black 10-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-2-6mm-arc-6-5-grendel-10rd/,https://drive.google.com/file/d/1OBv4XDtmro1IO0FLciq4r2cM10Z3tZuM/view?usp=sharing
,Mod-3 Magazines,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,
Pre-Order Only ,556MOD3BAC30,749355072354,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Alpine-Cam 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/14qxLKc4gqrT0TmAcyV0ON1f0S8Q1_as4/view?usp=sharing
Pre-Order Only ,556MOD3BUC30,749355072361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Urban-Cam 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1uDkV08Z8NV5jUQazC0O3RGbXgVn4QkX7/view?usp=sharing
Pre-Order Only ,556MOD3CAC30,749355072378,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Arid-Cam 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1bvB28wxH-wgu183OLmNloVdXCNH_ksoF/view?usp=sharing
Pre-Order Only ,556MOD3CTC30,749355072385,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Tropical-Cam 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1gX_jbFo1BBWTuIXv6zzKE5IZUPWato62/view?usp=sharing
Pre-Order Only ,556MOD3CVC30,749355072392,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Vari-Cam 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1zxivTi-KGmxVEIX2ULZ4J2mJgo47BbsT/view?usp=sharing
,556MOD3DT130,850057645798,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Trump ""Fight!"" 2024 30-Round Magazine",https://amend2mags.com/fight-2024/,https://drive.google.com/file/d/1A8YQXUXXOX8lyxOjIqzvTkCXp5QAdQO-/view?usp=sharing
,556MOD3FLAG30,850057645323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed American Flag 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-3-american-flag-5-56-223-30rd/,https://drive.google.com/file/d/1ReaQHIbrKxAbcoo67XPc9arHouVzZ4I5/view?usp=sharing
Discontinued ,556MOD3MC30,850057645859,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/11W6L5_ui_TwVRgTvdkHFUcIxMoNryH1c/view?usp=sharing
Discontinued ,556MOD3MCA30,850057645866,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Alpine 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1OFqt7B5lgbnAUdgdihzjnfMEzFja2bVu/view?usp=sharing
Discontinued ,556MOD3MCB30,850057645873,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Black 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1Th7vloN0qa2cTMCixDxMEHxCzAEqWrW8/view?usp=sharing
Discontinued ,556MOD3MCT30,850057645880,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Tropic 30-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1_TZhDRGQW2u0oKzFeB6B0CUgjSLCejfG/view?usp=sharing
,556MOD3NEON30,850057645361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Neon Splatter 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-3-neon-splatter-5-56-223-30rd/,https://drive.google.com/file/d/1gHmIw4ghc-QzbOdEQY1EtBSlYDMXrfoF/view?usp=sharing
,556MOD3SBWL30,850057645330,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Steamboat Willie 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-3-steamboat-willie-5-56-223-30rd/,https://drive.google.com/file/d/1zYbNfqDjeibd_fiRsz7OZQJqrirT65G7/view?usp=sharing
New ,A2MAGDRUMCP,749355071852,"Amend2® 30-Gallon Magazine Display Drum Dump Bin with 50 units of 556BANANA30, 50 units of 556SPRINKLE30, 50 units of 556MOD3FLAG30 & 50 units of 556MODCNEON30 Custom-Printed Magazines",N/A,https://drive.google.com/file/d/1ripD9MEMvciNMEJ7bMGc4jFa8TdTh4Ou/view?usp=sharing
,,,,,
,556MOD3B1030,799947619917,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 10/30 10-Round Magazine - Restricted State Compliant,https://amend2mags.com/amend2-ar-15-mod-3-5-56-223-10-30rd/,https://drive.google.com/file/d/1iGR8JjEwBghZjvbL_1MzyvrsESPBwijP/view?usp=sharing
,556MOD3BLK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine,https://amend2mags.com/amend2-ar-15-mod-3-5-56-223-30rd/,https://drive.google.com/file/d/1SnhhdxyEBLt3I5XGtsYQ7Ee-AD1EBwuj/view?usp=sharing
New ,A2MAGDRUMMOD3,749355071838,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD3BLK30 Magazines,N/A,https://drive.google.com/file/d/1PQPX2PR8BDS6LthU7qc4PX3pHkoC_iU8/view?usp=sharing
,,,,,
