Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
,Mod-2 Magazines,,,,,,,,,,,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,,,,,,,,,,,
New ,556BANANA1030,850057645972,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 10/30 10-Round Magazine - Restricted State Compliant, $ 25.49 , $ 22.49 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Pink,10-Rounds
,556BANANA30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 30-Round Magazine, $ 22.99 , $ 19.99 ,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Pink,30-Rounds
New ,556SPRINK1030,850057645989,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 10/30 10-Round Magazine - Restricted State Compliant, $ 25.49 , $ 22.49 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Yellow,10-Rounds
,556SPRINKLE30,799947619948,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine, $ 22.99 , $ 19.99 ,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Yellow,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MOD2B1030,685757245692,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 10/30 10-Round Magazine - Restricted State Compliant, $ 16.49 , $ 13.49 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,10-Rounds
,556MOD2BLK30,686751104015,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 30-Round Magazine, $ 13.99 , $ 10.99 ,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,A2MAGDRUMMOD2,749355071821,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD2BLK30 Magazines," See ""556MOD2BLK30"" "," See ""556MOD2BLK30"" ",N/A,N/A,N/A,N/A,N/A,N/A,"18.75"" x 18.75"" x 29.88""",81 lbs,1,5,USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,,,,,,,,,,,,,,,,,,,
Special Order Only ,556MOD2F1030,685757245708,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 10/30 10-Round Magazine - Restricted State Compliant, Special Order MOQ of 500 units! ,,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Flat Dark Earth,10-Rounds
Special Order Only ,556MOD2FDE30,686751104022,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 30-Round Magazine, Special Order MOQ of 500 units! ,,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Flat Dark Earth,30-Rounds
,,,,,,,,,,,,,,,,,,,
Special Order Only ,556MOD2GRY30,686751104138,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Gray 30-Round Magazine, Special Order MOQ of 500 units! ,,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Gray,30-Rounds
,,,,,,,,,,,,,,,,,,,
Special Order Only ,556MOD2ODG30,686751104039,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Olive Drab Green 30-Round Magazine, Special Order MOQ of 500 units! ,,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Olive Drab Green,30-Rounds
,6.5 Grendel/6mm ARC Magazines,,,,,,,,,,,,,,,,,,
Phase Out ,65GRENDBLK10,686751104237,Amend2® AR-15/M4/M16 6.5 Grendel/6mm ARC/22 ARC Mod-2 Black 10-Round Magazine, $ 16.99 , $ 13.99 ,"2.75"" x 1.13"" x 5.88""",0.23 lbs,"4.75"" x 1.13"" x 9""",0.24 lbs,N/A,N/A,"15"" x 13"" x 10""",14 lbs,50,"2,700",USA,6.5 Grendel/6mm ARC,Black,10-Rounds
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,,,,,,,,,,,
Pre-Order Only ,556MOD3BAC30,749355072354,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Alpine-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Pre-Order Only ,556MOD3BUC30,749355072361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Urban-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Pre-Order Only ,556MOD3CAC30,749355072378,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Arid-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
Pre-Order Only ,556MOD3CTC30,749355072385,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Tropical-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
Pre-Order Only ,556MOD3CVC30,749355072392,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Vari-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
,556MOD3DT130,850057645798,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Trump ""Fight!"" 2024 30-Round Magazine", $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,556MOD3FLAG30,850057645323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed American Flag 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
