Version 2026.07.01,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item Status,Item Number,UPC,Item Description, Prop 65 Warning Required , Warning for Carcinogen , Identify Carcinogen , Warning for Reproductive Toxin , Identify Reporductive Toxin , Prop 65 Warning Text 
,Magazines,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,
,Mod-2 Magazines,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,
New ,556BANANA1030,850057645972,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556BANANA30,799947619955,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Yellow Custom UV-Printed Banana 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,556SPRINK1030,850057645989,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556SPRINKLE30,799947619948,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MOD2B1030,685757245692,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD2BLK30,686751104015,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Black 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,A2MAGDRUMMOD2,749355071821,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD2BLK30 Magazines,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Special Order Only ,556MOD2F1030,685757245708,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Special Order Only ,556MOD2FDE30,686751104022,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Flat Dark Earth 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Special Order Only ,556MOD2GRY30,686751104138,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Gray 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Special Order Only ,556MOD2ODG30,686751104039,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-2 Olive Drab Green 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,6.5 Grendel/6mm ARC Magazines,,,,,,,,
Phase Out ,65GRENDBLK10,686751104237,Amend2® AR-15/M4/M16 6.5 Grendel/6mm ARC/22 ARC Mod-2 Black 10-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Mod-3 Magazines,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,
Pre-Order Only ,556MOD3BAC30,749355072354,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Alpine-Cam 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MOD3BUC30,749355072361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Urban-Cam 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MOD3CAC30,749355072378,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Arid-Cam 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MOD3CTC30,749355072385,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Tropical-Cam 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MOD3CVC30,749355072392,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Vari-Cam 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD3DT130,850057645798,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Trump ""Fight!"" 2024 30-Round Magazine",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,556MOD3FLAG30,850057645323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed American Flag 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Discontinued ,556MOD3MC30,850057645859,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® 30-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
